,PHU_orig,PHU_dest,week,flow
671,2226,2246,2020-10-26,490.0
672,2226,2246,2020-11-02,650.0
673,2226,2246,2020-11-09,330.0
674,2226,2246,2020-11-16,60.0
675,2226,2246,2020-11-23,210.0
676,2226,2246,2020-11-30,130.0
677,2226,2246,2020-12-07,760.0
678,2226,2246,2020-12-14,450.0
679,2226,2246,2020-12-21,960.0
680,2226,2246,2020-12-28,470.0
681,2226,2247,2020-01-06,390.0
682,2226,2247,2020-01-13,280.0
683,2226,2247,2020-01-20,80.0
684,2226,2247,2020-01-27,370.0
685,2226,2247,2020-02-03,630.0
686,2226,2247,2020-02-10,580.0
687,2226,2247,2020-02-17,880.0
688,2226,2247,2020-02-24,460.0
689,2226,2247,2020-03-02,910.0
690,2226,2247,2020-03-09,1110.0
691,2226,2247,2020-03-16,510.0
692,2226,2247,2020-03-23,410.0
693,2226,2247,2020-03-30,80.0
694,2226,2247,2020-04-06,180.0
695,2226,2247,2020-04-13,110.0
696,2226,2247,2020-04-20,630.0
697,2226,2247,2020-04-27,280.0
698,2226,2247,2020-05-04,500.0
699,2226,2247,2020-05-11,430.0
700,2226,2247,2020-05-18,120.0
701,2226,2247,2020-05-25,220.0
702,2226,2247,2020-06-01,650.0
703,2226,2247,2020-06-08,520.0
704,2226,2247,2020-06-15,1030.0
705,2226,2247,2020-06-22,770.0
706,2226,2247,2020-06-29,480.0
707,2226,2247,2020-07-06,800.0
708,2226,2247,2020-07-13,1210.0
709,2226,2247,2020-07-20,1860.0
710,2226,2247,2020-07-27,1630.0
711,2226,2247,2020-08-03,2470.0
712,2226,2247,2020-08-10,1160.0
713,2226,2247,2020-08-17,1340.0
714,2226,2247,2020-08-24,2040.0
715,2226,2247,2020-08-31,570.0
716,2226,2247,2020-09-07,1200.0
717,2226,2247,2020-09-14,790.0
718,2226,2247,2020-09-21,830.0
719,2226,2247,2020-09-28,360.0
720,2226,2247,2020-10-05,450.0
721,2226,2247,2020-10-12,540.0
722,2226,2247,2020-10-19,700.0
723,2226,2247,2020-10-26,710.0
724,2226,2247,2020-11-02,1070.0
725,2226,2247,2020-11-09,880.0
726,2226,2247,2020-11-16,1070.0
